,year,population,gdp,co2,cement_co2,cumulative_co2,co2_per_capita,co2_per_gdp,gas_co2,oil_co2,temperature_change_from_co2,temp,pred,pred_low,pred_high
125,2006,5948747995.0,71098598048608.0,26207.057,958.578,1052999.031,795.419,42.652,4346.695,9152.287,0.726,0.63,0.5841888871686527,0.5139271702648414,0.654450604072464
126,2007,6022678590.0,74800213528064.0,27029.886,1027.502,1080028.895,787.299,40.657000000000004,4495.229,9146.324,0.738,0.66,0.591617813230349,0.5213560963265377,0.6618795301341603
127,2008,6106163159.0,76931477314496.0,27503.485,1043.857,1107539.895,784.28,39.557,4649.678,9080.360999999999,0.751,0.54,0.6130713803500683,0.5428096634462569,0.6833330972538796
128,2009,6185982341.0,77108408395552.0,27133.462,1076.084,1134767.547,740.971,38.912,4572.913,8899.11,0.764,0.65,0.6864413776779124,0.616179660774101,0.7567030945817237
129,2010,6274959866.0,81649115271680.0,28670.076,1143.135,1163453.798,766.502,39.111,4900.247,9174.515000000001,0.78,0.72,0.6616476582139108,0.5913859413100995,0.7319093751177221
130,2011,6368583772.0,85077152285248.0,29676.077,1228.012,1193161.801,758.992,39.016,5025.106,9186.219,0.795,0.61,0.679917608767409,0.6096558918635977,0.7501793256712204
131,2012,6447785654.0,87646084517056.0,30193.586,1260.097,1223355.347,770.172,38.624,5159.676,9333.848,0.8089999999999999,0.65,0.7075196109717327,0.6372578940679213,0.777781327875544
132,2013,6527634400.0,90421538153216.0,30522.779,1315.3909999999998,1253878.143,748.194,37.695,5222.351,9379.163,0.822,0.67,0.744998910089419,0.6747371931856077,0.8152606269932303
133,2014,6606793384.0,93404451398656.0,30725.315,1372.433,1284603.436,732.408,37.089,5309.432,9419.195,0.835,0.74,0.7775388973019598,0.7072771803981485,0.8478006142057711
134,2015,6683898345.0,96278947457856.0,30640.777000000002,1320.787,1315244.224,724.942,36.434,5464.825,9612.949999999999,0.852,0.89,0.7995958416150143,0.729334124711203,0.8698575585188256
135,2016,6759867416.0,98077884830464.0,30579.681999999997,1365.386,1345823.955,711.635,36.262,5604.361,9725.689,0.869,1.01,0.8339513304621611,0.7636896135583497,0.9042130473659724
136,2017,6836047006.0,101007987768640.0,30959.798,1380.618,1376783.714,718.507,35.78,5723.273,9848.699,0.883,0.92,0.8628132759639752,0.7925515590601638,0.9330749928677865
137,2018,6910255082.0,104157707541376.0,31576.596,1436.71,1408360.3260000001,714.576,35.374,6037.772,9877.827,0.904,0.85,0.8602281273416746,0.7899664104378633,0.930489844245486
